,Index,Player,Pos,Ht,Wt,Rk,G,Season,Date,Age,Age_whole,Tm,Home/Away,Opp,Unnamed: 7,GS,MP,MP_num,FG,FGA,2P,2PA,2P%,2P_pts,FG%,3P,3PA,3P_pts,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,PPG,Avg_2PA,Avg_3PA,Avg_FTA,3PT_Percentage,FG_Percentage,FT_Percentage,3PA_5avg,3P%_5avg_pergame,FGA_5avg,FG%_5avg_pergame,FTA_5avg,FT%_5avg_pergame,PTS_EWA7,TEAM_PPG,OPP_2PA_AVG,OPP_2P%,OPP_3PA_AVG,OPP_3P%,OPP_FTA_AVG,OPP_TRB_AVG,OPP_DEF_RATING,OPP_AVG_PACE,BestGuardScoringAvg,AvgPointsScoredByGuardsVsOpponent,Avg3PAbyIndividualGuardsVsOpponent,AvgFTAbyGuardsVsOpponent,StephScoringAVGvsOPP
397,curryst01,Stephen Curry,G,6-2,185.0,63,62.0,14-15,2015-03-11,26-362,26,GSW,Home,DET,W (+7),1,33:57,33.95,4,15,3,8,0.375,6,0.267,1,7,3,0.143,0,0,0.0,1,4,5,11,1,0,3,1,9,7.3,8.0,23.80327868852459,8.885245901639344,8.032786885245901,4.409836065573771,0.42244897959183675,0.48546511627906974,0.9033457249070632,9.6,0.625,15.2,0.46720000000000006,15.2,0.7666,29.691394609443915,109.62903225806451,17.46031746031746,0.47363636363636363,8.634920634920634,0.3272058823529412,7.238095238095238,8.666666666666666,104.96240601503759,94.25269841269841,16.634920634920636,30.873015873015873,2.602870813397129,7.238095238095238,21.11111111111111
398,curryst01,Stephen Curry,G,6-2,185.0,65,63.0,14-15,2015-03-14,27-000,27,GSW,Home,NYK,W (+31),1,26:56,26.933333333333334,8,15,2,5,0.4,4,0.533,6,10,18,0.6,3,3,1.0,0,3,3,11,3,0,1,2,25,27.5,30.0,23.56451612903226,8.870967741935484,8.016129032258064,4.338709677419355,0.41851106639839036,0.48233046800382046,0.9033457249070632,8.6,0.5536,15.0,0.42060000000000014,15.0,0.5666,15.207418382833177,109.453125,18.578125,0.4878048780487805,10.65625,0.39296187683284456,9.53125,8.953125,109.10165484633569,91.74078125,20.171875,38.515625,3.0720720720720722,9.53125,25.555555555555557
399,curryst01,Stephen Curry,G,6-2,185.0,66,64.0,14-15,2015-03-16,27-002,27,GSW,Home,LAL,W (+3),1,32:40,32.666666666666664,5,14,3,8,0.375,6,0.357,2,6,6,0.333,7,7,1.0,0,4,4,9,3,0,6,2,19,14.9,-3.0,23.58730158730159,8.80952380952381,8.047619047619047,4.317460317460317,0.42209072978303747,0.4830508474576271,0.9044117647058824,8.0,0.5811999999999999,14.8,0.4522000000000001,14.8,0.6666,22.062225514849953,109.6923076923077,20.78125,0.4924812030075188,11.03125,0.37535410764872523,9.796875,8.578125,108.75935658544353,95.35584615384616,21.390625,40.53125,3.238532110091743,9.796875,21.58823529411765
400,curryst01,Stephen Curry,G,6-2,185.0,67,65.0,14-15,2015-03-18,27-004,27,GSW,Home,ATL,W (+19),1,29:41,29.683333333333334,4,11,2,5,0.4,4,0.364,2,6,6,0.333,6,6,1.0,1,3,4,12,0,0,4,1,16,15.5,17.0,23.515625,8.796875,8.015625,4.359375,0.42105263157894735,0.48141263940520446,0.9068100358422939,7.6,0.5227999999999999,15.4,0.4146000000000001,15.4,0.7,19.918667654454985,109.66666666666667,19.149253731343283,0.4489477786438036,12.492537313432836,0.33930704898446834,6.701492537313433,9.402985074626866,101.76266918476551,94.6244776119403,17.686567164179106,35.47761194029851,3.4730290456431536,6.701492537313433,17.0
401,curryst01,Stephen Curry,G,6-2,185.0,68,66.0,14-15,2015-03-20,27-006,27,GSW,Home,NOP,W (+16),1,27:02,27.03333333333333,4,17,2,7,0.2857142857142857,4,0.235,2,10,6,0.2,6,6,1.0,0,2,2,11,0,0,3,0,16,11.0,11.0,23.4,8.738461538461538,7.984615384615385,4.384615384615385,0.42003853564547206,0.48022079116835326,0.9087719298245615,8.4,0.3894,15.8,0.4208000000000001,15.8,0.7,17.175600296336494,109.73134328358209,22.147058823529413,0.47808764940239046,9.808823529411764,0.3373313343328336,7.1911764705882355,9.161764705882353,105.98736176935229,92.49661764705883,19.191176470588236,36.970588235294116,2.802521008403361,7.1911764705882355,25.0
402,curryst01,Stephen Curry,G,6-2,185.0,69,67.0,14-15,2015-03-21,27-007,27,GSW,Home,UTA,W (+15),1,32:14,32.233333333333334,8,18,5,12,0.4166666666666667,10,0.444,3,6,9,0.5,5,5,1.0,1,2,3,3,3,0,0,0,24,21.0,12.0,23.28787878787879,8.712121212121213,8.015151515151516,4.409090909090909,0.4158790170132325,0.47644927536231885,0.9106529209621993,7.8,0.3218,14.4,0.35120000000000007,14.4,0.8,16.35268008890095,109.76470588235294,19.955882352941178,0.44657332350773765,9.588235294117647,0.35736196319018404,7.485294117647059,8.426470588235293,104.17408186377608,90.83823529411765,18.25,34.0,2.76271186440678,7.485294117647059,22.235294117647058
403,curryst01,Stephen Curry,G,6-2,185.0,70,68.0,14-15,2015-03-23,27-009,27,GSW,Home,WAS,W (+31),1,28:16,28.266666666666666,8,14,3,6,0.5,6,0.571,5,8,15,0.625,3,3,1.0,1,4,5,6,2,0,2,1,24,23.1,30.0,23.29850746268657,8.761194029850746,7.985074626865671,4.417910447761194,0.41682242990654206,0.47593582887700536,0.9121621621621622,7.6,0.3932,15.0,0.38660000000000005,15.0,1.0,21.705804026670283,109.71014492753623,21.485714285714284,0.4621010638297872,10.557142857142857,0.34776725304465494,7.7,8.428571428571429,102.52403846153845,94.18885714285713,20.47142857142857,37.02857142857143,3.066390041493776,7.7,23.1
404,curryst01,Stephen Curry,G,6-2,185.0,71,69.0,14-15,2015-03-24,27-010,27,GSW,Away,POR,W (+14),1,35:26,35.43333333333333,13,22,8,13,0.6153846153846154,16,0.591,5,9,15,0.556,2,2,1.0,0,2,2,10,1,0,2,2,33,28.6,12.0,23.308823529411764,8.720588235294118,7.985294117647059,4.397058823529412,0.4198895027624309,0.477112676056338,0.9130434782608695,7.2,0.3982,14.8,0.39420000000000005,14.8,1.0,23.311741208001084,109.67142857142858,26.582089552238806,0.4413250982594048,8.791044776119403,0.3140916808149406,8.537313432835822,10.611940298507463,101.92896509491733,95.04955882352942,21.328358208955223,38.82089552238806,2.6531531531531534,8.537313432835822,24.058823529411764
405,curryst01,Stephen Curry,G,6-2,185.0,72,70.0,14-15,2015-03-27,27-013,27,GSW,Away,MEM,W (+23),1,34:14,34.233333333333334,12,22,4,10,0.4,8,0.545,8,12,24,0.667,6,6,1.0,1,2,3,10,3,1,4,3,38,34.2,26.0,23.44927536231884,8.782608695652174,8.0,4.36231884057971,0.4221014492753623,0.4792746113989637,0.9136212624584718,7.8,0.44279999999999997,16.4,0.441,16.4,1.0,30.09352236240033,109.84507042253522,20.34722222222222,0.48600682593856653,10.86111111111111,0.3273657289002558,6.652777777777778,8.708333333333334,101.25294811320755,93.00583333333333,18.72222222222222,35.736111111111114,3.2181069958847734,6.652777777777778,21.1875
406,curryst01,Stephen Curry,G,6-2,185.0,73,71.0,14-15,2015-03-28,27-014,27,GSW,Away,MIL,W (+13),1,30:24,30.4,8,13,2,4,0.5,4,0.615,6,9,18,0.667,3,3,1.0,0,4,4,6,1,0,6,4,25,17.9,1.0,23.65714285714286,8.8,8.057142857142857,4.385714285714286,0.42730496453900707,0.48050847457627116,0.9153094462540716,9.0,0.5096,18.6,0.4772000000000001,18.6,1.0,35.628056708720095,109.80555555555556,17.91549295774648,0.4481132075471698,11.126760563380282,0.3430379746835443,8.943661971830986,7.887323943661972,101.68018539976825,94.6711111111111,18.507042253521128,34.53521126760563,3.41991341991342,8.943661971830986,18.0
407,curryst01,Stephen Curry,G,6-2,185.0,74,72.0,14-15,2015-03-31,27-017,27,GSW,Away,LAC,W (+4),1,36:11,36.18333333333333,8,15,4,9,0.4444444444444444,8,0.533,4,6,12,0.667,7,7,1.0,1,0,1,4,1,0,3,3,27,20.0,-1.0,23.676056338028168,8.732394366197184,8.070422535211268,4.366197183098592,0.43106457242582896,0.48197820620285,0.9161290322580645,8.8,0.603,17.8,0.5532000000000001,17.8,1.0,28.188417012616032,109.78082191780823,16.283783783783782,0.44315352697095434,10.14864864864865,0.3355525965379494,8.554054054054054,8.472972972972974,104.72896668548843,95.47716216216217,16.68918918918919,31.513513513513512,2.9683794466403164,8.554054054054054,18.90909090909091
408,curryst01,Stephen Curry,G,6-2,185.0,75,73.0,14-15,2015-04-02,27-019,27,GSW,Home,PHO,W (+1),1,33:32,33.53333333333333,10,22,4,11,0.36363636363636365,8,0.455,6,11,18,0.545,2,2,1.0,1,7,8,5,0,0,6,3,28,15.7,-1.0,23.72222222222222,8.73611111111111,8.041666666666666,4.402777777777778,0.43350604490500866,0.4826158940397351,0.917981072555205,8.8,0.6364,17.2,0.5710000000000001,17.2,1.0,27.35652510378481,109.78378378378379,22.4,0.45357142857142857,11.24,0.34638196915776986,9.093333333333334,9.573333333333334,104.84611231101513,97.61186666666666,19.6,39.266666666666666,3.099264705882353,9.093333333333334,17.90909090909091
409,curryst01,Stephen Curry,G,6-2,185.0,76,74.0,14-15,2015-04-04,27-021,27,GSW,Away,DAL,W (+13),1,27:27,27.45,4,12,3,8,0.375,6,0.333,1,4,3,0.25,2,3,0.667,2,2,4,3,1,0,1,1,11,7.5,11.0,23.78082191780822,8.767123287671232,8.082191780821917,4.36986301369863,0.43559322033898307,0.4821138211382114,0.9184952978056427,9.4,0.6204000000000001,18.8,0.5478000000000001,18.8,1.0,27.806957531135442,109.74666666666667,20.11842105263158,0.45585349901896666,11.93421052631579,0.36604189636163176,8.368421052631579,9.776315789473685,104.81436148510812,96.0725,20.013157894736842,38.11842105263158,3.2743682310469313,8.368421052631579,20.88888888888889
410,curryst01,Stephen Curry,G,6-2,185.0,77,75.0,14-15,2015-04-05,27-022,27,GSW,Away,SAS,L (-15),1,30:03,30.05,9,17,4,7,0.5714285714285714,8,0.529,5,10,15,0.5,1,2,0.5,0,4,4,6,1,0,4,2,24,16.9,-16.0,23.60810810810811,8.756756756756756,8.027027027027026,4.351351351351352,0.43434343434343436,0.4806763285024155,0.9161490683229814,8.4,0.5592,16.8,0.49620000000000014,16.8,0.9334,16.042087259340633,109.92105263157895,23.30666666666667,0.45308924485125857,9.186666666666667,0.3613933236574746,7.066666666666666,8.306666666666667,101.22185612300933,94.42736842105262,19.906666666666666,36.84,2.5708955223880596,7.066666666666666,18.2
411,curryst01,Stephen Curry,G,6-2,185.0,78,76.0,14-15,2015-04-07,27-024,27,GSW,Away,NOP,L (-3),1,34:45,34.75,9,18,4,10,0.4,8,0.5,5,8,15,0.625,2,2,1.0,1,5,6,9,1,0,2,3,25,22.3,4.0,23.613333333333333,8.733333333333333,8.053333333333333,4.32,0.43543046357615894,0.4813343923749007,0.9135802469135802,8.0,0.5258,15.8,0.49300000000000005,15.8,0.8333999999999999,21.61262617780219,109.68831168831169,21.92105263157895,0.47539015606242496,9.776315789473685,0.3351278600269179,7.197368421052632,9.039473684210526,106.11000850581232,92.26671052631579,18.92105263157895,36.53947368421053,2.8143939393939394,7.197368421052632,23.5
412,curryst01,Stephen Curry,G,6-2,185.0,79,77.0,14-15,2015-04-09,27-026,27,GSW,Home,POR,W (+11),1,35:13,35.21666666666667,17,23,9,10,0.9,18,0.739,8,13,24,0.615,3,3,1.0,1,1,2,10,0,0,4,2,45,38.9,21.0,23.63157894736842,8.75,8.052631578947368,4.2894736842105265,0.43790849673202614,0.4815974941268598,0.9141104294478528,7.8,0.5174000000000001,16.8,0.4700000000000001,16.8,0.8333999999999999,23.983787853340658,109.56410256410257,25.844155844155843,0.4391959798994975,8.753246753246753,0.33086053412462907,8.285714285714286,10.415584415584416,102.24839400428264,94.90217948717948,21.428571428571427,38.298701298701296,2.6535433070866143,8.285714285714286,24.555555555555557
413,curryst01,Stephen Curry,G,6-2,185.0,80,78.0,14-15,2015-04-11,27-028,27,GSW,Home,MIN,W (+9),1,35:26,35.43333333333333,11,21,6,10,0.6,12,0.524,5,11,15,0.455,7,8,0.875,0,4,4,7,4,0,3,1,34,30.0,17.0,23.90909090909091,8.766233766233766,8.116883116883116,4.2727272727272725,0.4416,0.48615384615384616,0.9148936170212766,9.2,0.507,18.4,0.5112000000000001,18.4,0.8333999999999999,38.695136356002195,109.64556962025317,19.89873417721519,0.48791348600508905,10.569620253164556,0.34850299401197604,7.012658227848101,8.037974683544304,110.65822450864002,95.40278481012658,19.10126582278481,36.21518987341772,3.1273408239700373,7.012658227848101,21.75
