,PPG,Avg_2PA,Avg_3PA,Avg_FTA,3PT_Percentage,True_Shooting_Percentage_Season,Effective_FG_Percentage_Season,TEAM_PPG,TEAM_AVG_PACE,OPP_2PA_AVG,OPP_2P%,OPP_3PA_AVG,OPP_3P%,OPP_FTA_AVG,BestGuardScoringAvg,StephScoringAVGvsOPP,PTS
484,30.13235294117647,9.0,11.132352941176471,5.176470588235294,0.45310435931307796,0.6669053508657726,0.6322132943754566,115.25352112676056,100.52788732394366,21.267605633802816,0.4688741721854305,12.23943661971831,0.35558112773302647,7.619718309859155,18.732394366197184,20.571428571428573,33
485,30.17391304347826,8.956521739130435,11.144927536231885,5.260869565217392,0.45253576072821844,0.6675537457716787,0.6322999279019467,115.43055555555556,100.50666666666666,23.52054794520548,0.47058823529411764,9.32876712328767,0.3465491923641703,9.520547945205479,19.356164383561644,19.083333333333332,20
486,30.02857142857143,8.928571428571429,11.114285714285714,5.257142857142857,0.4498714652956298,0.6661173786284701,0.6307911617961511,115.45205479452055,100.47232876712329,20.82191780821918,0.4763157894736842,11.287671232876713,0.3786407766990291,6.890410958904109,20.273972602739725,25.5,26
487,29.971830985915492,8.971830985915492,11.070422535211268,5.211267605633803,0.4529262086513995,0.6655199374511337,0.6303583977512298,115.27027027027027,100.52,20.7027027027027,0.4536553524804178,10.27027027027027,0.37105263157894736,8.27027027027027,19.62162162162162,21.714285714285715,31
488,29.98611111111111,9.027777777777779,11.055555555555555,5.208333333333333,0.4535175879396985,0.6646655891633957,0.6296680497925311,115.10666666666667,100.43560000000001,18.533333333333335,0.4618705035971223,9.293333333333333,0.3199426111908178,9.146666666666667,17.36,19.727272727272727,29
489,29.972602739726028,8.972602739726028,11.095890410958905,5.178082191780822,0.45555555555555555,0.6652275698519352,0.6303754266211604,114.98684210526316,100.44302631578948,21.584415584415584,0.4657039711191336,10.428571428571429,0.38729763387297633,8.974025974025974,20.805194805194805,26.272727272727273,39
490,30.094594594594593,8.95945945945946,11.121621621621621,5.162162162162162,0.45929526123936815,0.6677861405139585,0.6332436069986541,115.25974025974025,100.45675324675325,20.818181818181817,0.4784778540237056,12.311688311688311,0.34282700421940926,8.025974025974026,19.584415584415584,23.526315789473685,21
491,29.973333333333333,8.986666666666666,11.16,5.133333333333334,0.45639187574671447,0.6635672644085308,0.628722700198544,115.28205128205128,100.50987179487178,22.194805194805195,0.44880046811000585,8.74025974025974,0.3328380386329866,6.805194805194805,17.233766233766232,19.333333333333332,27
492,29.93421052631579,9.026315789473685,11.105263157894736,5.092105263157895,0.4561611374407583,0.6637200414278004,0.6290849673202614,115.24050632911393,100.47177215189873,18.126582278481013,0.4776536312849162,13.20253164556962,0.36433365292425696,9.949367088607595,19.49367088607595,22.5,17
493,29.766233766233768,9.012987012987013,11.142857142857142,5.025974025974026,0.4522144522144522,0.6602048017513286,0.6256443298969072,115.05,100.384625,22.189873417721518,0.4517969195664575,8.79746835443038,0.33237410071942447,6.7215189873417724,17.39240506329114,19.736842105263158,37
